content,content_start,content_end,style,style_start,style_end,text
spanish127.mp3,1.2,7.0,english494.mp3,0.0,5.0,"Please call Stella. Ask her to bring these things with her from the store:"
spanish142.mp3,0.6,6.5,english494.mp3,0.0,5.0,"Please call Stella. Ask her to bring these things with her from the store:"
spanish98.mp3,1.0,7.5,english494.mp3,0.0,5.0,"Please call Stella. Ask her to bring these things with her from the store:"
spanish140.mp3,0.6,7.3,english494.mp3,0.0,5.0,"Please call Stella. Ask her to bring these things with her from the store:"
spanish31.mp3,1.5,10.5,english494.mp3,0.0,5.0,"Please call Stella. Ask her to bring these things with her from the store:"
spanish67.mp3,0.6,7.6,english494.mp3,0.0,5.0,"Please call Stella. Ask her to bring these things with her from the store:"
spanish46.mp3,0.6,5.2,english494.mp3,0.0,5.0,"Please call Stella. Ask her to bring these things with her from the store:"
spanish1.mp3,0.3,6.5,english494.mp3,0.0,5.0,"Please call Stella. Ask her to bring these things with her from the store:"
spanish90.mp3,0.3,4.3,english494.mp3,0.0,5.0,"Please call Stella. Ask her to bring these things with her from the store:"
spanish143.mp3,0.5,5.2,english494.mp3,0.0,5.0,"Please call Stella. Ask her to bring these things with her from the store:"
