content,content_start,content_end,style,style_start,style_end,text
mandarin42.mp3,2.0,10.0,english494.mp3,0.0,5.0,"Please call Stella. Ask her to bring these things with her from the store:"
mandarin52.mp3,1.0,6.5,english494.mp3,0.0,5.0,"Please call Stella. Ask her to bring these things with her from the store:"
mandarin48.mp3,1.0,7.4,english494.mp3,0.0,5.0,"Please call Stella. Ask her to bring these things with her from the store:"
mandarin23.mp3,0.6,8.0,english494.mp3,0.0,5.0,"Please call Stella. Ask her to bring these things with her from the store:"
mandarin34.mp3,1.5,6.0,english494.mp3,0.0,5.0,"Please call Stella. Ask her to bring these things with her from the store:"
mandarin45.mp3,1.0,7.6,english494.mp3,0.0,5.0,"Please call Stella. Ask her to bring these things with her from the store:"
mandarin16.mp3,0.6,5.6,english494.mp3,0.0,5.0,"Please call Stella. Ask her to bring these things with her from the store:"
mandarin8.mp3,0.5,5.6,english494.mp3,0.0,5.0,"Please call Stella. Ask her to bring these things with her from the store:"
mandarin11.mp3,0.5,6.0,english494.mp3,0.0,5.0,"Please call Stella. Ask her to bring these things with her from the store:"
mandarin61.mp3,0.6,6.2,english494.mp3,0.0,5.0,"Please call Stella. Ask her to bring these things with her from the store:"
russian32.mp3,0.4,4.3,english494.mp3,0.0,5.0,"Please call Stella. Ask her to bring these things with her from the store:"
russian22.mp3,0.4,4.4,english494.mp3,0.0,5.0,"Please call Stella. Ask her to bring these things with her from the store:"
russian38.mp3,0.5,6.7,english494.mp3,0.0,5.0,"Please call Stella. Ask her to bring these things with her from the store:"
russian23.mp3,0.6,6.0,english494.mp3,0.0,5.0,"Please call Stella. Ask her to bring these things with her from the store:"
russian19.mp3,0.6,5.4,english494.mp3,0.0,5.0,"Please call Stella. Ask her to bring these things with her from the store:"
russian18.mp3,0.5,4.4,english494.mp3,0.0,5.0,"Please call Stella. Ask her to bring these things with her from the store:"
russian1.mp3,0.2,6.5,english494.mp3,0.0,5.0,"Please call Stella. Ask her to bring these things with her from the store:"
russian9.mp3,0.5,5.2,english494.mp3,0.0,5.0,"Please call Stella. Ask her to bring these things with her from the store:"
russian24.mp3,1.0,8.0,english494.mp3,0.0,5.0,"Please call Stella. Ask her to bring these things with her from the store:"
russian17.mp3,0.6,5.2,english494.mp3,0.0,5.0,"Please call Stella. Ask her to bring these things with her from the store:"
spanish127.mp3,1.2,7.0,english494.mp3,0.0,5.0,"Please call Stella. Ask her to bring these things with her from the store:"
spanish142.mp3,0.6,6.5,english494.mp3,0.0,5.0,"Please call Stella. Ask her to bring these things with her from the store:"
spanish98.mp3,1.0,7.5,english494.mp3,0.0,5.0,"Please call Stella. Ask her to bring these things with her from the store:"
spanish140.mp3,0.6,7.3,english494.mp3,0.0,5.0,"Please call Stella. Ask her to bring these things with her from the store:"
spanish31.mp3,1.5,10.5,english494.mp3,0.0,5.0,"Please call Stella. Ask her to bring these things with her from the store:"
spanish67.mp3,0.6,7.6,english494.mp3,0.0,5.0,"Please call Stella. Ask her to bring these things with her from the store:"
spanish46.mp3,0.6,5.2,english494.mp3,0.0,5.0,"Please call Stella. Ask her to bring these things with her from the store:"
spanish1.mp3,0.3,6.5,english494.mp3,0.0,5.0,"Please call Stella. Ask her to bring these things with her from the store:"
spanish90.mp3,0.3,4.3,english494.mp3,0.0,5.0,"Please call Stella. Ask her to bring these things with her from the store:"
spanish143.mp3,0.5,5.2,english494.mp3,0.0,5.0,"Please call Stella. Ask her to bring these things with her from the store:"
