content,content_start,content_end,style,style_start,style_end,text
mandarin42.mp3,2.0,10.0,english494.mp3,0.0,5.0,"Please call Stella. Ask her to bring these things with her from the store:"
mandarin52.mp3,1.0,6.5,english494.mp3,0.0,5.0,"Please call Stella. Ask her to bring these things with her from the store:"
mandarin48.mp3,1.0,7.4,english494.mp3,0.0,5.0,"Please call Stella. Ask her to bring these things with her from the store:"
mandarin23.mp3,0.6,8.0,english494.mp3,0.0,5.0,"Please call Stella. Ask her to bring these things with her from the store:"
mandarin34.mp3,1.5,6.0,english494.mp3,0.0,5.0,"Please call Stella. Ask her to bring these things with her from the store:"
mandarin45.mp3,1.0,7.6,english494.mp3,0.0,5.0,"Please call Stella. Ask her to bring these things with her from the store:"
mandarin16.mp3,0.6,5.6,english494.mp3,0.0,5.0,"Please call Stella. Ask her to bring these things with her from the store:"
mandarin8.mp3,0.5,5.6,english494.mp3,0.0,5.0,"Please call Stella. Ask her to bring these things with her from the store:"
mandarin11.mp3,0.5,6.0,english494.mp3,0.0,5.0,"Please call Stella. Ask her to bring these things with her from the store:"
mandarin61.mp3,0.6,6.2,english494.mp3,0.0,5.0,"Please call Stella. Ask her to bring these things with her from the store:"
